0,22
830254,83
830303,84
830343,86
830383,87
830423,86
830463,83
830504,82
830552,79
830593,80
830633,84
830673,85
830713,85
830754,87
830802,88
830843,89
830883,87
830923,86
830963,83
831005,79
831052,78
831093,81
831140,82
831181,82
831223,84
831263,86
831305,87
831352,83
831393,81
831440,79
831481,78
831523,81
831563,83
831605,81
831653,83
831693,84
831740,84
831781,83
831823,81
831863,79
831905,76
831953,75
831993,78
832040,79
832081,78
832123,80
832163,82
832204,83
832253,81
832293,79
832340,78
832381,76
832423,76
832463,80
832505,80
832553,81
832593,83
832633,83
832673,83
832713,82
832754,82
832803,79
832843,77
832883,80
832923,84
832963,84
833006,84
833053,87
833094,90
833134,90
833174,88
833213,86
833255,85
833303,82
833343,84
833383,86
833423,85
833463,87
833505,87
833553,88
833593,88
833633,87
833673,86
833713,83
833755,80
833803,81
833843,84
833883,84
833924,85
833964,88
834011,90
